"measure","value","units","category","scenario","climset","period","strategy"
"Frequency Meeting Dry Year Fish Targets Scott",65.8574,"% of Days","Ecological Resources","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",53.2719,"% of Days","Ecological Resources","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Percent of Annual Refuge Demand",17.1261,"% of Years","Ecological Resources","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Hydropower Generated (MW)",25394.6459,"MW","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Volume per year",196.0889,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Volume per year",211.8479,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Iron Gate Mean Spill Volume per year",512.654,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Boyle Mean Spill Days per year",155.3,"days","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Copco1 Mean Spill Days per year",44.2,"days","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"IronGate Mean Spill Days per year",132.2333,"days","Hydropower","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Freq of UKL Flood Control Release",41.453,"Percent of Days","Flood Control","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Ann UKL Flood Control Release Volume",218.4893,"KAF","Flood Control","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"KenoReach Mean Ann Fishing Days",257.2333,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"BoyleReach Mean Ann Fishing Days",157.7,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"HellsCornerReach Mean Ann Fishing Days",257.8,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"IGScottReach Mean Ann Fishing Days",281.9667,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"ScottSalmonReach Mean Ann Fishing Days",197.1,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",231.9667,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"TrinityOceanReach Mean Ann Fishing Days",261.8,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"KenoReach Mean Ann Boating Days",177.7333,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"BoyleReach Mean Ann Boating Days",52.6,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"HellsCornerReach Mean Ann Boating Days",210.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"IGScottReach Mean Ann Boating Days",281.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"ScottSalmonReach Mean Ann Boating Days",257.3,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"SalmonTrinityReach Mean Ann Boating Days",231.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"TrinityOceanReach Mean Ann Boating Days",261.8,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Percent Full Supply (Apr-Sep)",91.5976,"%","Water Delivery","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual UKL Stg and Inflow",1366.7066,"KAF","Water Delivery","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Shasta Flow",179.9013,"cfs","Water Delivery","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual Scott Flow",629.2486,"cfs","Water Delivery","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean Annual MWAT",75.9371,"degF","Water Quality","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Mean exceedence of MWAT - Poor",12.2571,"degF","Water Quality","WD","CMIP3",2030,"Reduce
Dam
Outflow
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",65.8574,"% of Days","Ecological Resources","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Frequency Meeting Dry Year Fish Targets Shasta",53.2719,"% of Days","Ecological Resources","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Water Delivery to LKNWR",16.3383,"KAF","Ecological Resources","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Hydropower Generated (MW)",25394.6459,"MW","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Boyle Mean Spill Volume per Year",196.0889,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Copco1 Mean Spill Volume per Year",211.8479,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Iron Gate Mean Spill Volume per Year",512.654,"KAF","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Boyle Mean Spill Days per Year",155.3,"days","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Copco1 Mean Spill Days per Year",44.2,"days","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Iron Gate Mean Spill Days per Year",132.2333,"days","Hydropower","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Freq of UKL Flood Control Release",41.453,"Percent of Days","Flood Control","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Ann UKL Flood Control Release Volume",218.4893,"KAF","Flood Control","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"KenoReach Mean Ann Fishing Days",257.2333,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"BoyleReach Mean Ann Fishing Days",157.7,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"HellsCornerReach Mean Ann Fishing Days",257.8,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"IGScottReach Mean Ann Fishing Days",281.9667,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"ScottSalmonReach Mean Ann Fishing Days",197.1,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"SalmonTrinityReach Mean Ann Fishing Days",231.9667,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"TrinityOceanReach Mean Ann Fishing Days",261.8,"days","Recreation Fishing","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"KenoReach Mean Ann Boating Days",177.7333,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"BoyleReach Mean Ann Boating Days",52.6,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"HellsCornerReach Mean Ann Boating Days",210.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"IGScottReach Mean Ann Boating Days",281.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"ScottSalmonReach Mean Ann Boating Days",257.3,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"SalmonTrinityReach Mean Ann Boating Days",231.9667,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"TrinityOceanReach Mean Ann Boating Days",261.8,"days","Recreation Boating","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Project Supply (Apr-Sep)",357.2308,"KAF","Water Delivery","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual UKL Stg and Inflow",1366.7066,"KAF","Water Delivery","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Shasta Flow",179.9013,"cfs","Water Delivery","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual Scott Flow",629.2486,"cfs","Water Delivery","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean Annual MWAT",78.854,"degF","Water Quality","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Mean exceedence of MWAT - Poor",15.174,"degF","Water Quality","WD","CMIP3",2030,"Reduce
Shasta
Scott
4degC"
"Frequency Meeting Dry Year Fish Targets Scott",70.5029,"% of Days","Ecological Resources","WD","CMIP3",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Shasta",56.8769,"% of Days","Ecological Resources","WD","CMIP3",2070,"Historical"
"Mean Annual Water Delivery to LKNWR",24.6143,"KAF","Ecological Resources","WD","CMIP3",2070,"Historical"
"Mean Annual Hydropower Generated (MW)",26741.1142,"MW","Hydropower","WD","CMIP3",2070,"Historical"
"Boyle Mean Spill Volume per Year",163.0602,"KAF","Hydropower","WD","CMIP3",2070,"Historical"
"Copco1 Mean Spill Volume per Year",186.3791,"KAF","Hydropower","WD","CMIP3",2070,"Historical"
"Iron Gate Mean Spill Volume per Year",533.8601,"KAF","Hydropower","WD","CMIP3",2070,"Historical"
"Boyle Mean Spill Days per Year",105.9,"days","Hydropower","WD","CMIP3",2070,"Historical"
"Copco1 Mean Spill Days per Year",42.8,"days","Hydropower","WD","CMIP3",2070,"Historical"
"Iron Gate Mean Spill Days per Year",170.3333,"days","Hydropower","WD","CMIP3",2070,"Historical"
"Freq of UKL Flood Control Release",44.1179,"Percent of Days","Flood Control","WD","CMIP3",2070,"Historical"
"Mean Ann UKL Flood Control Release Volume",224.4786,"KAF","Flood Control","WD","CMIP3",2070,"Historical"
"KenoReach Mean Ann Fishing Days",247.6667,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"BoyleReach Mean Ann Fishing Days",154.9,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"HellsCornerReach Mean Ann Fishing Days",220.4333,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"IGScottReach Mean Ann Fishing Days",274.7333,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"ScottSalmonReach Mean Ann Fishing Days",183.9667,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"SalmonTrinityReach Mean Ann Fishing Days",213.9333,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"TrinityOceanReach Mean Ann Fishing Days",252.9333,"days","Recreation Fishing","WD","CMIP3",2070,"Historical"
"KenoReach Mean Ann Boating Days",171.8,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"BoyleReach Mean Ann Boating Days",59,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"HellsCornerReach Mean Ann Boating Days",256,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"IGScottReach Mean Ann Boating Days",274.7333,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"ScottSalmonReach Mean Ann Boating Days",249.2333,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"SalmonTrinityReach Mean Ann Boating Days",213.9333,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"TrinityOceanReach Mean Ann Boating Days",252.9333,"days","Recreation Boating","WD","CMIP3",2070,"Historical"
"Mean Project Supply (Apr-Sep)",361.3104,"KAF","Water Delivery","WD","CMIP3",2070,"Historical"
"Mean Annual UKL Stg and Inflow",1377.9978,"KAF","Water Delivery","WD","CMIP3",2070,"Historical"
"Mean Annual Shasta Flow",187.6871,"cfs","Water Delivery","WD","CMIP3",2070,"Historical"
"Mean Annual Scott Flow",668.7854,"cfs","Water Delivery","WD","CMIP3",2070,"Historical"
"Mean Annual MWAT",75.7443,"degF","Water Quality","WD","CMIP3",2070,"Historical"
"Mean exceedence of MWAT - Poor",12.0643,"degF","Water Quality","WD","CMIP3",2070,"Historical"
"Frequency Meeting Dry Year Fish Targets Scott",63.9135,"% of Days","Ecological Resources","WD","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Shasta",52.0672,"% of Days","Ecological Resources","WD","CMIP3",2070,"Baseline"
"Mean Annual Water Delivery to LKNWR",12.408,"KAF","Ecological Resources","WD","CMIP3",2070,"Baseline"
"Mean Annual Hydropower Generated (MW)",24133.3771,"MW","Hydropower","WD","CMIP3",2070,"Baseline"
"Boyle Mean Spill Volume per Year",207.0029,"KAF","Hydropower","WD","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Volume per Year",228.8718,"KAF","Hydropower","WD","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Volume per Year",506.29,"KAF","Hydropower","WD","CMIP3",2070,"Baseline"
"Boyle Mean Spill Days per Year",163.9,"days","Hydropower","WD","CMIP3",2070,"Baseline"
"Copco1 Mean Spill Days per Year",41.7,"days","Hydropower","WD","CMIP3",2070,"Baseline"
"Iron Gate Mean Spill Days per Year",117.6667,"days","Hydropower","WD","CMIP3",2070,"Baseline"
"Freq of UKL Flood Control Release",38.1674,"Percent of Days","Flood Control","WD","CMIP3",2070,"Baseline"
"Mean Ann UKL Flood Control Release Volume",242.9596,"KAF","Flood Control","WD","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Fishing Days",261,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Fishing Days",176.3333,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Fishing Days",267.4,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Fishing Days",285.2333,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Fishing Days",211.1,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Fishing Days",243.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Fishing Days",272.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Baseline"
"KenoReach Mean Ann Boating Days",161.0667,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"BoyleReach Mean Ann Boating Days",47.5667,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"HellsCornerReach Mean Ann Boating Days",187.8667,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"IGScottReach Mean Ann Boating Days",285.2333,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"ScottSalmonReach Mean Ann Boating Days",262.3333,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"SalmonTrinityReach Mean Ann Boating Days",243.4667,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"TrinityOceanReach Mean Ann Boating Days",272.4667,"days","Recreation Boating","WD","CMIP3",2070,"Baseline"
"Mean Project Supply (Apr-Sep)",339.0871,"KAF","Water Delivery","WD","CMIP3",2070,"Baseline"
"Mean Annual UKL Stg and Inflow",1275.3916,"KAF","Water Delivery","WD","CMIP3",2070,"Baseline"
"Mean Annual Shasta Flow",172.4926,"cfs","Water Delivery","WD","CMIP3",2070,"Baseline"
"Mean Annual Scott Flow",593.5264,"cfs","Water Delivery","WD","CMIP3",2070,"Baseline"
"Mean Annual MWAT",80.4714,"degF","Water Quality","WD","CMIP3",2070,"Baseline"
"Mean exceedence of MWAT - Poor",16.7914,"degF","Water Quality","WD","CMIP3",2070,"Baseline"
"Frequency Meeting Dry Year Fish Targets Scott",63.9135,"% of Days","Ecological Resources","WD","CMIP3",2070,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Shasta",52.0672,"% of Days","Ecological Resources","WD","CMIP3",2070,"Add Flow
10%"
"Mean Percent of Annual Refuge Demand",13.0062,"% of Years","Ecological Resources","WD","CMIP3",2070,"Add Flow
10%"
"Mean Annual Hydropower Generated (MW)",24133.3771,"MW","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Boyle Mean Spill Volume per year",207.0029,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Copco1 Mean Spill Volume per year",228.8718,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Iron Gate Mean Spill Volume per year",506.29,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Boyle Mean Spill Days per year",163.9,"days","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Copco1 Mean Spill Days per year",41.7,"days","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"IronGate Mean Spill Days per year",117.6667,"days","Hydropower","WD","CMIP3",2070,"Add Flow
10%"
"Freq of UKL Flood Control Release",38.1674,"Percent of Days","Flood Control","WD","CMIP3",2070,"Add Flow
10%"
"Mean Ann UKL Flood Control Release Volume",242.9596,"KAF","Flood Control","WD","CMIP3",2070,"Add Flow
10%"
"KenoReach Mean Ann Fishing Days",261,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"BoyleReach Mean Ann Fishing Days",176.3333,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"HellsCornerReach Mean Ann Fishing Days",267.4,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"IGScottReach Mean Ann Fishing Days",285.2333,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"ScottSalmonReach Mean Ann Fishing Days",211.1,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Fishing Days",243.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"TrinityOceanReach Mean Ann Fishing Days",272.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
10%"
"KenoReach Mean Ann Boating Days",161.0667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"BoyleReach Mean Ann Boating Days",47.5667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"HellsCornerReach Mean Ann Boating Days",187.8667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"IGScottReach Mean Ann Boating Days",285.2333,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"ScottSalmonReach Mean Ann Boating Days",262.3333,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"SalmonTrinityReach Mean Ann Boating Days",243.4667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"TrinityOceanReach Mean Ann Boating Days",272.4667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
10%"
"Mean Percent Full Supply (Apr-Sep)",86.9454,"%","Water Delivery","WD","CMIP3",2070,"Add Flow
10%"
"Mean Annual UKL Stg and Inflow",1275.3916,"KAF","Water Delivery","WD","CMIP3",2070,"Add Flow
10%"
"Mean Annual Shasta Flow",172.4926,"cfs","Water Delivery","WD","CMIP3",2070,"Add Flow
10%"
"Mean Annual Scott Flow",593.5264,"cfs","Water Delivery","WD","CMIP3",2070,"Add Flow
10%"
"Mean Annual MWAT",80.0266,"degF","Water Quality","WD","CMIP3",2070,"Add Flow
10%"
"Mean exceedence of MWAT - Poor",16.3466,"degF","Water Quality","WD","CMIP3",2070,"Add Flow
10%"
"Frequency Meeting Dry Year Fish Targets Scott",63.9135,"% of Days","Ecological Resources","WD","CMIP3",2070,"Add Flow
20%"
"Frequency Meeting Dry Year Fish Targets Shasta",52.0672,"% of Days","Ecological Resources","WD","CMIP3",2070,"Add Flow
20%"
"Mean Percent of Annual Refuge Demand",13.0062,"% of Years","Ecological Resources","WD","CMIP3",2070,"Add Flow
20%"
"Mean Annual Hydropower Generated (MW)",24133.3771,"MW","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Boyle Mean Spill Volume per year",207.0029,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Copco1 Mean Spill Volume per year",228.8718,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Iron Gate Mean Spill Volume per year",506.29,"KAF","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Boyle Mean Spill Days per year",163.9,"days","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Copco1 Mean Spill Days per year",41.7,"days","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"IronGate Mean Spill Days per year",117.6667,"days","Hydropower","WD","CMIP3",2070,"Add Flow
20%"
"Freq of UKL Flood Control Release",38.1674,"Percent of Days","Flood Control","WD","CMIP3",2070,"Add Flow
20%"
"Mean Ann UKL Flood Control Release Volume",242.9596,"KAF","Flood Control","WD","CMIP3",2070,"Add Flow
20%"
"KenoReach Mean Ann Fishing Days",261,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"BoyleReach Mean Ann Fishing Days",176.3333,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"HellsCornerReach Mean Ann Fishing Days",267.4,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"IGScottReach Mean Ann Fishing Days",285.2333,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"ScottSalmonReach Mean Ann Fishing Days",211.1,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Fishing Days",243.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"TrinityOceanReach Mean Ann Fishing Days",272.4667,"days","Recreation Fishing","WD","CMIP3",2070,"Add Flow
20%"
"KenoReach Mean Ann Boating Days",161.0667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"BoyleReach Mean Ann Boating Days",47.5667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"HellsCornerReach Mean Ann Boating Days",187.8667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"IGScottReach Mean Ann Boating Days",285.2333,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"ScottSalmonReach Mean Ann Boating Days",262.3333,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"SalmonTrinityReach Mean Ann Boating Days",243.4667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"TrinityOceanReach Mean Ann Boating Days",272.4667,"days","Recreation Boating","WD","CMIP3",2070,"Add Flow
20%"
"Mean Percent Full Supply (Apr-Sep)",86.9454,"%","Water Delivery","WD","CMIP3",2070,"Add Flow
20%"
"Mean Annual UKL Stg and Inflow",1275.3916,"KAF","Water Delivery","WD","CMIP3",2070,"Add Flow
20%"
"Mean Annual Shasta Flow",172.4926,"cfs","Water Delivery","WD","CMIP3",2070,"Add Flow
20%"
"Mean Annual Scott Flow",593.5264,"cfs","Water Delivery","WD","CMIP3",2070,"Add Flow
20%"
